Hello Worlds 
This is our new text fileand this is another line.Why? Because we can.Hello Worlds 
This is our new text fileand this is another line.Why? Because we can.Hello Worlds 
This is our new text fileand this is another line.Why? Because we can.ДОМ ОЦЕНКИ;г Казань, ул Минская, д 6, кв 4
ДОМ ОЦЕНКИ;Челябинская обл, г Магнитогорск, пр-кт Ленина, д 135 к 1, оф 75
ДОМ ОЦЕНКИ;г Челябинск, ул Елькина, д 45
ДОМ ОЦЕНКИ И ЭКСПЕРТИЗЫ;г Челябинск, ул Елькина, д 45, оф 9
УХТИНСКИЙ ДОМ ОЦЕНКИ И ЭКСПЕРТИЗ;Респ Коми, г Ухта, ул 30 лет Октября, д 4, оф 407
ДЭО;Респ Татарстан, г Набережные Челны, ул Академика Рубаненко, д 4, оф 117
НЦО ДОМ XXI;454091, ОБЛАСТЬ ЧЕЛЯБИНСКАЯ, ГОРОД ЧЕЛЯБИНСК, УЛИЦА КРАСНАЯ, 4, ------------, 603
НЦО НАШ ДОМ;398001, ОБЛАСТЬ ЛИПЕЦКАЯ, ГОРОД ЛИПЕЦК, УЛИЦА ПЕРВОМАЙСКАЯ, 35, 2 ОФИС
ДОКА;г Астрахань, ул Джона Рида, д 12
ДОМ ОЦЕНКИ;г Самара, ул Самарская, д 107, оф 1
ДОМ ОЦЕНКИ;г Казань, ул Минская, д 6, кв 4;1660193784
ДОМ ОЦЕНКИ;Челябинская обл, г Магнитогорск, пр-кт Ленина, д 135 к 1, оф 75;7455005446
ДОМ ОЦЕНКИ;г Челябинск, ул Елькина, д 45;7453095099
ДОМ ОЦЕНКИ И ЭКСПЕРТИЗЫ;г Челябинск, ул Елькина, д 45, оф 9;7453070979
УХТИНСКИЙ ДОМ ОЦЕНКИ И ЭКСПЕРТИЗ;Респ Коми, г Ухта, ул 30 лет Октября, д 4, оф 407;1102074123
ДЭО;Респ Татарстан, г Набережные Челны, ул Академика Рубаненко, д 4, оф 117;1650339949
НЦО ДОМ XXI;454091, ОБЛАСТЬ ЧЕЛЯБИНСКАЯ, ГОРОД ЧЕЛЯБИНСК, УЛИЦА КРАСНАЯ, 4, ------------, 603;7453013995
НЦО НАШ ДОМ;398001, ОБЛАСТЬ ЛИПЕЦКАЯ, ГОРОД ЛИПЕЦК, УЛИЦА ПЕРВОМАЙСКАЯ, 35, 2 ОФИС;4826079153
ДОКА;г Астрахань, ул Джона Рида, д 12;3015064732
ДОМ ОЦЕНКИ;г Самара, ул Самарская, д 107, оф 1;6315561748
ФАВОРИТ ДИРЕКТ;109316, ГОРОД МОСКВА, ПРОСПЕКТ ВОЛГОГРАДСКИЙ, ДОМ 43, КОРПУС 3, ЭТ 6 ПОМ XXI КОМ 11Д;9710023312;772201001
ФАВОРИТ;г Москва, ул Архитектора Власова, д 8, кв 57;7717797022;772801001
ФАВОРИТ;125167, ГОРОД МОСКВА, ПРОСПЕКТ ЛЕНИНГРАДСКИЙ, ДОМ 47, СТРОЕНИЕ 2, Э 5 (ЧЕРД) ПОМ II КОМ 23;7714746580;771401001
ФАВОРИТ;г Москва, ул Яузская, д 8 стр 2;7705845031;770501001
ФАВОРИТ;Ростовская обл, г Аксай, ул Платова, д 83Г, оф 6;6102058770;610201001
ФАВОРИТ;г Санкт-Петербург, ул Марата, д 10, оф 12;7804000807;784001001
АВТОТЕХЦЕНТР ФАВОРИТ;г Новосибирск, ул Мусы Джалиля, д 27А;5408182941;540801001
БИЗНЕС-ФАВОРИТ;Московская обл, Пушкинский р-н, рп Лесной, ул Центральная, д 1;7719255120;503801001
КИНОКОМПАНИЯ ФАВОРИТФИЛЬМ;121165, ГОРОД МОСКВА, УЛИЦА КИЕВСКАЯ, ДОМ 22, Э 1 ПОМ 103 К 1 ОФ 3;7730661038;773001001
СТАТУС ФАВОРИТ;г Москва, Щёлковское шоссе, д 48;7705313238;771901001
ФАВОРИТ ДИРЕКТ;109316, ГОРОД МОСКВА, ПРОСПЕКТ ВОЛГОГРАДСКИЙ, ДОМ 43, КОРПУС 3, ЭТ 6 ПОМ XXI КОМ 11Д;9710023312;772201001
ФАВОРИТ;г Москва, ул Архитектора Власова, д 8, кв 57;7717797022;772801001
ФАВОРИТ;125167, ГОРОД МОСКВА, ПРОСПЕКТ ЛЕНИНГРАДСКИЙ, ДОМ 47, СТРОЕНИЕ 2, Э 5 (ЧЕРД) ПОМ II КОМ 23;7714746580;771401001
ФАВОРИТ;г Москва, ул Яузская, д 8 стр 2;7705845031;770501001
ФАВОРИТ;Ростовская обл, г Аксай, ул Платова, д 83Г, оф 6;6102058770;610201001
ФАВОРИТ;г Санкт-Петербург, ул Марата, д 10, оф 12;7804000807;784001001
АВТОТЕХЦЕНТР ФАВОРИТ;г Новосибирск, ул Мусы Джалиля, д 27А;5408182941;540801001
БИЗНЕС-ФАВОРИТ;Московская обл, Пушкинский р-н, рп Лесной, ул Центральная, д 1;7719255120;503801001
КИНОКОМПАНИЯ ФАВОРИТФИЛЬМ;121165, ГОРОД МОСКВА, УЛИЦА КИЕВСКАЯ, ДОМ 22, Э 1 ПОМ 103 К 1 ОФ 3;7730661038;773001001
СТАТУС ФАВОРИТ;г Москва, Щёлковское шоссе, д 48;7705313238;771901001
ФАВОРИТ ДИРЕКТ;109316, ГОРОД МОСКВА, ПРОСПЕКТ ВОЛГОГРАДСКИЙ, ДОМ 43, КОРПУС 3, ЭТ 6 ПОМ XXI КОМ 11Д;9710023312;772201001
ФАВОРИТ;г Москва, ул Архитектора Власова, д 8, кв 57;7717797022;772801001
ФАВОРИТ;125167, ГОРОД МОСКВА, ПРОСПЕКТ ЛЕНИНГРАДСКИЙ, ДОМ 47, СТРОЕНИЕ 2, Э 5 (ЧЕРД) ПОМ II КОМ 23;7714746580;771401001
ФАВОРИТ;г Москва, ул Яузская, д 8 стр 2;7705845031;770501001
ФАВОРИТ;Ростовская обл, г Аксай, ул Платова, д 83Г, оф 6;6102058770;610201001
ФАВОРИТ;г Санкт-Петербург, ул Марата, д 10, оф 12;7804000807;784001001
АВТОТЕХЦЕНТР ФАВОРИТ;г Новосибирск, ул Мусы Джалиля, д 27А;5408182941;540801001
БИЗНЕС-ФАВОРИТ;Московская обл, Пушкинский р-н, рп Лесной, ул Центральная, д 1;7719255120;503801001
КИНОКОМПАНИЯ ФАВОРИТФИЛЬМ;121165, ГОРОД МОСКВА, УЛИЦА КИЕВСКАЯ, ДОМ 22, Э 1 ПОМ 103 К 1 ОФ 3;7730661038;773001001
СТАТУС ФАВОРИТ;г Москва, Щёлковское шоссе, д 48;7705313238;771901001
ФАВОРИТ ДИРЕКТ;109316, ГОРОД МОСКВА, ПРОСПЕКТ ВОЛГОГРАДСКИЙ, ДОМ 43, КОРПУС 3, ЭТ 6 ПОМ XXI КОМ 11Д;9710023312;772201001
ФАВОРИТ;г Москва, ул Архитектора Власова, д 8, кв 57;7717797022;772801001
ФАВОРИТ;125167, ГОРОД МОСКВА, ПРОСПЕКТ ЛЕНИНГРАДСКИЙ, ДОМ 47, СТРОЕНИЕ 2, Э 5 (ЧЕРД) ПОМ II КОМ 23;7714746580;771401001
ФАВОРИТ;г Москва, ул Яузская, д 8 стр 2;7705845031;770501001
ФАВОРИТ;Ростовская обл, г Аксай, ул Платова, д 83Г, оф 6;6102058770;610201001
ФАВОРИТ;г Санкт-Петербург, ул Марата, д 10, оф 12;7804000807;784001001
АВТОТЕХЦЕНТР ФАВОРИТ;г Новосибирск, ул Мусы Джалиля, д 27А;5408182941;540801001
БИЗНЕС-ФАВОРИТ;Московская обл, Пушкинский р-н, рп Лесной, ул Центральная, д 1;7719255120;503801001
КИНОКОМПАНИЯ ФАВОРИТФИЛЬМ;121165, ГОРОД МОСКВА, УЛИЦА КИЕВСКАЯ, ДОМ 22, Э 1 ПОМ 103 К 1 ОФ 3;7730661038;773001001
СТАТУС ФАВОРИТ;г Москва, Щёлковское шоссе, д 48;7705313238;771901001
ФАВОРИТ ДИРЕКТ;109316, ГОРОД МОСКВА, ПРОСПЕКТ ВОЛГОГРАДСКИЙ, ДОМ 43, КОРПУС 3, ЭТ 6 ПОМ XXI КОМ 11Д;9710023312;772201001
